game_id,title,old_region,new_region_family,new_market_region,region_code,serial,languages,classification_source,confidence,action,source_urls,review_reasons,url
ps2-usa-downforce,Downforce,USA,NTSC-U/C,USA,US,SLUS-20405,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/34744/",,/catalogo/downforce-ps2-pal-us
ps2-usa-downhill-domination,Downhill Domination,USA,NTSC-U/C,USA,US,SCUS-97177,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SCUS-97177.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/30393/",,/catalogo/downhill-domination-ps2-pal-us
ps2-usa-downhill-domination-demo-disc,Downhill Domination [Demo Disc],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/downhill-domination-demo-disc-ps2-pal-us
ps2-usa-dr-muto,Dr. Muto,USA,NTSC-U/C,USA,US,SLUS-20458,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20458.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/20335/",,/catalogo/dr-muto-ps2-pal-us
ps2-usa-dragon-s-lair-2-time-warp,Dragon's Lair 2 Time Warp,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-s-lair-2-time-warp-ps2-pal-us
ps2-usa-dragon-ball-z-budokai,Dragon Ball Z Budokai,USA,NTSC-U/C,USA,US,SLUS-20591,en|ja,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20591.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4170/",,/catalogo/dragon-ball-z-budokai-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-2,Dragon Ball Z Budokai 2,USA,NTSC-U/C,USA,US,SLUS-20779,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20779.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4157/",,/catalogo/dragon-ball-z-budokai-2-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-2-greatest-hits,Dragon Ball Z Budokai 2 [Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-ball-z-budokai-2-greatest-hits-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-3,Dragon Ball Z Budokai 3,USA,NTSC-U/C,USA,US,SLUS-20998,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/3025/",,/catalogo/dragon-ball-z-budokai-3-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-3-greatest-hits,Dragon Ball Z Budokai 3 [Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-ball-z-budokai-3-greatest-hits-ps2-pal-us
