sourceName,slug,displayName,resolution,existing
Gammera Nest,gammera-nest,Gammera Nest,new-exact-credit-entity,False
Gearbox Publishing,gearbox-publishing,Gearbox Publishing,exact-name-or-alias,True
Gearbox Software,gearbox-software,Gearbox Software,exact-name-or-alias,True
Ghost Town Games,ghost-town-games,Ghost Town Games,exact-name-or-alias,True
Granzella,granzella,Granzella Inc.,exact-name-or-alias,True
Graphite Lab,graphite-lab,Graphite Lab,new-exact-credit-entity,False
Grasshopper Manufacture,grasshopper-manufacture,Grasshopper Manufacture,exact-name-or-alias,True
Green Lava Studios,green-lava-studios,Green Lava Studios,exact-name-or-alias,True
Ground Shatter,ground-shatter,Ground Shatter,exact-name-or-alias,True
Grove Street Games,grove-street-games,Grove Street Games,exact-name-or-alias,True
Guerrilla Games,guerrilla-games,Guerrilla Games,exact-name-or-alias,True
Gun Interactive,gun-interactive,Gun Interactive,exact-name-or-alias,True
Gun Media,gun-media,Gun Media,exact-name-or-alias,True
Gust,gust,Gust,exact-name-or-alias,True
HB Studios,hb-studios,HB Studios,exact-name-or-alias,True
HEADUP GAMES,headup-games,HeadUp Games,exact-name-or-alias,True
HIGHWIRE GAMES,highwire-games,Highwire Games,exact-name-or-alias,True
Haemimont Games,haemimont-games,Haemimont Games,exact-name-or-alias,True
Halfbrick Studios,halfbrick-studios,Halfbrick Studios,exact-name-or-alias,True
Hammer Labs,hammer-labs,Hammer Labs,new-exact-credit-entity,False
HandyGames,handygames,HandyGames,explicit-existing,True
Hangar 13,hangar-13,Hangar 13,exact-name-or-alias,True
Harmonix,harmonix,Harmonix,exact-name-or-alias,True
Harmonix Music Systems,harmonix,Harmonix,explicit-existing,True
Headbang Club,headbang-club,Headbang Club,new-exact-credit-entity,False
Headup Games,headup-games,HeadUp Games,exact-name-or-alias,True
Higgs Games,higgs-games,Higgs Games,new-exact-credit-entity,False
High Moon Studios,high-moon-studios,High Moon Studios,exact-name-or-alias,True
Home Ent Suppliers,home-ent-suppliers,Home Ent Suppliers,new-exact-credit-entity,False
Humble Games,humble-games,Humble Games,exact-name-or-alias,True
IMGN.PRO,imgn-pro,IMGN.Pro,exact-name-or-alias,True
ININ Games,inin-games,ININ Games,exact-name-or-alias,True
IO Interactive,io-interactive,IO Interactive,exact-name-or-alias,True
Idea Factory,idea-factory,"Idea Factory Co., Ltd.",exact-name-or-alias,True
Idea Factory International,idea-factory-international,Idea Factory International,explicit-existing,True
IllFonic,illfonic,IllFonic,exact-name-or-alias,True
Image & Form Games,image-amp-form-games,Image & Form Games,exact-name-or-alias,True
Imaginary Monsters,imaginary-monsters,Imaginary Monsters,new-exact-credit-entity,False
Impulse Gear,impulse-gear,Impulse Gear,exact-name-or-alias,True
InXile Entertainment,inxile-entertainment,InXile Entertainment,exact-name-or-alias,True
Infinigon Games,infinigon,Infinigon,explicit-existing,True
Insomniac Games,insomniac-games,Insomniac Games,exact-name-or-alias,True
Inti Creates,inti-creates,Inti Creates,exact-name-or-alias,True
Iridium Media Group GmbH,iridium-media-group-gmbh,Iridium Media Group GmbH,new-exact-credit-entity,False
It Matters Games,it-matters-games,It Matters Games,new-exact-credit-entity,False
Italic Pig,italic-pig,Italic Pig,new-exact-credit-entity,False
Ivory Tower,ivory-tower,Ivory Tower,exact-name-or-alias,True
JOINDOTS GMBH,joindots,Joindots GmbH,exact-name-or-alias,True
JanduSoft,jandusoft,JanduSoft,exact-name-or-alias,True
Japan Studio,japan-studio,JAPAN Studio,exact-name-or-alias,True
Joindots,joindots,Joindots GmbH,exact-name-or-alias,True
Junction Point Studios,junction-point,Junction Point,explicit-existing,True
KEMCO,kemco,Kemco Corporation,exact-name-or-alias,True
KRAFTON,krafton,Krafton Inc.,exact-name-or-alias,True
Kalypso Media,kalypso-media,Kalypso Media,exact-name-or-alias,True
Kepler Interactive,kepler-interactive,Kepler Interactive,exact-name-or-alias,True
KintoGames,kintogames,KintoGames,new-exact-credit-entity,False
Kite Games,kite-games,Kite Games,new-exact-credit-entity,False
Koch Media,koch-media,KOCH Media,exact-name-or-alias,True
Koei Tecmo Europe,koei-tecmo-europe,Koei Tecmo Europe,exact-name-or-alias,True
Koei Tecmo Games,koei-tecmo-games,KOEI Tecmo Games,exact-name-or-alias,True
Kojima Productions,kojima-productions,Kojima Productions,exact-name-or-alias,True
Konami,konami,Konami,exact-name-or-alias,True
Konami Digital Entertainment,konami-digital-entertainment,Konami Digital Entertainment,exact-name-or-alias,True
Koo Games,koo-games,Koo Games,new-exact-credit-entity,False
Korion Interactive,korion-interactive,Korion Interactive,exact-name-or-alias,True
Kylotonn,kylotonn,Kylotonn,exact-name-or-alias,True
LION CASTLE,lion-castle,Lion Castle,exact-name-or-alias,True
Larian Studios,larian-studios,Larian Studios,new-exact-credit-entity,False
Le Cortex,le-cortex,Le Cortex,exact-name-or-alias,True
Leonardo Interactive,leonardo-interactive,Leonardo Interactive,exact-name-or-alias,True
Level-5,level-5,Level 5,exact-name-or-alias,True
Limited Run Games,limited-run-games,Limited Run Games,exact-name-or-alias,True
Lion Castle Entertainment,lion-castle,Lion Castle,explicit-existing,True
Little Orbit,little-orbit,Little Orbit,explicit-existing,True
Live Wire,live-wire,Live Wire,exact-name-or-alias,True
Locomalito,locamalito,Locamalito,explicit-existing,True
London Studio,london-studio,London Studio,exact-name-or-alias,True
Lost The Game Studios,lost-the-game-studios,Lost The Game Studios,new-exact-credit-entity,False
LuGus Studios,lugus-studios,LuGus Studios,new-exact-credit-entity,False
Lunatic Pixels,lunatic-pixels,Lunatic Pixels,exact-name-or-alias,True
M2,m2,M2,exact-name-or-alias,True
MAGES.,mages,Mages.,exact-name-or-alias,True
MARKT+TECHNIK VERLAG GMBH,markt-43-technik-verlag-gmbh,Markt+Technik Verlag GmbH,exact-name-or-alias,True
MachineGames,machinegames,MachineGames,explicit-existing,True
Mad Catz,mad-catz,Mad Catz,explicit-existing,True
Maga Animation Studio,maga-animation-studio,Maga Animation Studio,new-exact-credit-entity,False
Magic Pockets,magic-pockets,Magic Pockets,exact-name-or-alias,True
Making Port,making-port,Making Port,new-exact-credit-entity,False
Markt+Technik,markt-technik,Markt Technik,explicit-existing,True
Markt+Technik Verlag,markt-amp-technik-verlag,Markt & Technik Verlag,exact-name-or-alias,True
Marvelous Europe,marvelous-europe,Marvelous Europe,explicit-existing,True
Mastiff,mastiff,Mastiff,exact-name-or-alias,True
Maximum Entertainment,maximum-games,Maximum Games,explicit-existing,True
Maximum Games,maximum-games,Maximum Games,exact-name-or-alias,True
Maxis,maxis,Maxis,exact-name-or-alias,True
Mebius,mebius,Mebius,exact-name-or-alias,True
Media.Vision,media-vision,Media Vision,exact-name-or-alias,True
Mediascape,mediascape,Mediascape,exact-name-or-alias,True
MegaPixel Studio,megapixel-studio,MegaPixel Studio,exact-name-or-alias,True
Merge Games,merge-games,Merge Games,exact-name-or-alias,True
Meridiem Games,meridiem-games,Meridiem Games,exact-name-or-alias,True
Microids,microids,Microids,exact-name-or-alias,True
Microsoft Corporation,microsoft,Microsoft,explicit-existing,True
Microsoft Studios,microsoft-game-studios,Microsoft Game Studios,explicit-existing,True
Milestone,milestone,MileStone,exact-name-or-alias,True
Milestone S.r.l.,milestone-s-r-l,Milestone S.r.l.,explicit-existing,True
Mindscape,mindscape,Mindscape Inc,exact-name-or-alias,True
Misc Games,misc-games,Misc Games,new-exact-credit-entity,False
Mitchell Corporation,mitchell-corporation,Mitchell Corporation,exact-name-or-alias,True
Modus Games,modus-games,Modus Games,exact-name-or-alias,True
Mojang Studios,mojang-studios,Mojang Studios,exact-name-or-alias,True
Monolith Productions,monolith-productions,Monolith Productions,exact-name-or-alias,True
Moon Factory Studios,moon-factory-studios,Moon Factory Studios,new-exact-credit-entity,False
Moragami,moragami,Moragami,exact-name-or-alias,True
Morne Venter,morne-venter,Morne Venter,new-exact-credit-entity,False
Motion Twin,motion-twin,Motion Twin,exact-name-or-alias,True
NACON SA,nacon,Nacon,explicit-existing,True
NEOWIZ,neowiz,Neowiz,exact-name-or-alias,True
NIGHTHAWK INTERACTIVE LLC,nighthawk-interactive,Nighthawk Interactive,explicit-existing,True
NIGORO,nigoro,Nigoro,exact-name-or-alias,True
NIS America,nis-america,NIS America,exact-name-or-alias,True
NUMSKULL GAMES LTD,numskull-games,Numskull Games Ltd.,exact-name-or-alias,True
Nacon,nacon,Nacon,exact-name-or-alias,True
Natsume,natsume,Natsume,exact-name-or-alias,True
Natsume Atari,natsume-atari,Natsume Atari,exact-name-or-alias,True
Naughty Dog,naughty-dog,Naughty Dog,exact-name-or-alias,True
Nementic Games,nementic-games,Nementic Games,new-exact-credit-entity,False
Neon Giant,neon-giant,Neon Giant,exact-name-or-alias,True
NetherRealm Studios,netherrealm-studios,NetherRealm Studios,exact-name-or-alias,True
Nicalis,nicalis,Nicalis,exact-name-or-alias,True
Nightdive Studios,nightdive-studios,NightDive Studios,explicit-existing,True
Nihon Falcom,nihon-falcom,Nihon Falcom Corporation,exact-name-or-alias,True
Nippon Ichi Software,nippon-ichi-software,Nippon Ichi Software,exact-name-or-alias,True
No Brakes Games,no-brakes-games,No Brakes Games,exact-name-or-alias,True
No More Robots,no-more-robots,No More Robots,exact-name-or-alias,True
Nomad Games,nomad-games,Nomad Games,exact-name-or-alias,True
Nordic Games,nordic-games,Nordic Games,exact-name-or-alias,True
NukGames,nukgames,NukGames,new-exact-credit-entity,False
Numskull Games,numskull-games,Numskull Games Ltd.,exact-name-or-alias,True
OSome Studio,osome-studio,OSome Studio,exact-name-or-alias,True
OUTRIGHT GAMES LLC,outright-games,Outright Games LTD,explicit-existing,True
Oddworld Inhabitants,oddworld-inhabitants,Oddworld Inhabitants,exact-name-or-alias,True
Omega Force,omega-force,Omega Force,exact-name-or-alias,True
One or Eight,one-or-eight,One or Eight,new-exact-credit-entity,False
Outright Games,outright-games,Outright Games LTD,exact-name-or-alias,True
Overkill Software,overkill-software,Overkill Software,new-exact-credit-entity,False
P-Studio,p-studio,P Studio,exact-name-or-alias,True
