catalog_id,catalog_title,role,current_value,candidate_companies,reason,recommended_action,source_1,source_2
ps4-genesis-alpha-one,Genesis Alpha One,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Team17 | Team 17 Digital LTD,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473207,https://store.playstation.com/es-es/product/EP4064-CUSA10869_00-GENESISALPHA1000
ps4-ghost-trick-phantom-detective,Ghost Trick: Phantom Detective,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Capcom | CE EUROPE LIMITED,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://store.playstation.com/es-es/product/EP0102-CUSA34042_00-GHOSTTRICKFULL00,https://store.steampowered.com/app/1967430
ps4-gungrave-vr,Gungrave VR,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,XSEED Games | Marvelous Europe Limited,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/158285,https://store.playstation.com/es-es/product/EP4492-CUSA13276_00-GUNGRAVEVREUR000
ps4-gylt-collector%27s-edition,GYLT [Collector's Edition],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Tequila Works | Tesura Games,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473284,https://store.steampowered.com/app/2206210
ps4-hello-neighbor-hide-&amp;-seek,Hello Neighbor: Hide & Seek,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,tinyBuild | TINYBUILD LLC,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473305,https://store.playstation.com/es-es/product/EP0096-CUSA13970_00-HNHIDEANDSEEK4EU
ps4-hokko-life,Hokko Life,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Team17 | Team 17 Digital LTD,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473293,https://store.playstation.com/es-es/product/EP4064-CUSA30507_00-HOKKOLIFE0000000
ps4-indiecalypse,Indiecalypse,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,JanduSoft | JANDUSOFT S.L.,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/475782,https://store.playstation.com/es-es/product/EP3111-CUSA19518_00-JANDUSOFT0000001
ps4-infinite-beyond-the-mind-tanya-edition,Infinite Beyond The Mind [Tanya Edition],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Blowfish Studios | Strictly Limited Games,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473295,https://store.steampowered.com/app/1207710
ps4-jets-%27n%27-guns-2,Jets 'N' Guns 2,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Rake in Grass | Red Art Games,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://store.steampowered.com/app/830820,https://www.wikidata.org/entity/Q104197287
ps4-jets%27n%27guns-2,Jets'n'Guns 2,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Rake in Grass | Red Art Games,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://store.steampowered.com/app/830820,https://www.wikidata.org/entity/Q104197287
ps4-koa-and-the-five-pirates-of-mara,Koa and the Five Pirates of Mara,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,"Chibig | CHIBIG, S.L.U.",MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/475848,https://store.playstation.com/es-es/product/EP3721-CUSA39400_00-1951700463900563
ps4-lemon-cake,Lemon Cake,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Soedesco | Cozy Bee Games,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473411,https://store.playstation.com/es-es/product/EP4541-CUSA33487_00-LEMONCAKEEU00000
ps4-mafia-trilogy,Mafia Trilogy,DEVELOPER,Hangar 13,,MULTI_GAME_COMPILATION,SPLIT_COMPONENT_CREDITS,,
ps4-marvel-spider-man-el-reino-de-las-sombras,Marvel Spider Man El reino de las sombras,DEVELOPER,,,WRONG_PLATFORM_OR_TITLE,REPAIR_CATALOG_IDENTITY,,
ps4-marvel-spider-man-el-reino-de-las-sombras,Marvel Spider Man El reino de las sombras,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,,WRONG_PLATFORM_OR_TITLE,REPAIR_CATALOG_IDENTITY,,
ps4-memorrha,Memorrha,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,StickyStoneStudio | MARKT+TECHNIK VERLAG GMBH,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/476433,https://store.playstation.com/es-es/product/EP3024-CUSA43764_00-MEMORRHAPS4EUROP
ps4-mickey-storm-and-the-cursed-mask,Mickey Storm And The Cursed Mask,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Lion Castle Entertainment | LION CASTLE,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473534,https://store.playstation.com/es-es/product/EP3333-CUSA25924_00-4072971248798549
ps4-middle-earth-shadow-of-mordor-game-of-the-year,Middle Earth: Shadow of Mordor [Game of the Year],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Warner Bros. Interactive Entertainment | Warner Bros. Games | WARNER BROS. INTERACTIVE,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/21400,https://store.playstation.com/es-es/product/EP1018-CUSA02152_00-SHADOWMORDORGOTY
ps4-milli-&amp;-greg,Milli & Greg,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,QUBYTE INTERACTIVE | 2ndBoss,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://store.playstation.com/es-es/product/EP0546-CUSA29973_00-2720362443921429,https://store.steampowered.com/app/1598210
ps4-mindtaker,Mindtaker,DEVELOPER,,,CO_DEVELOPMENT,ADD_MULTIPLE_DEVELOPER_CREDITS,,
ps4-nobunaga%27s-ambition-sphere-of-influence-ascension,Nobunaga's Ambition Sphere of Influence [Ascension],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Koei Tecmo Games | Koei Tecmo Europe Ltd,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473637,https://store.playstation.com/es-es/product/EP4108-CUSA05830_00-HDDBOOT000000001
ps4-nongunz-doppelganger-edition,Nongunz: Doppelganger Edition,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,DIGERATI DISTRIBUTION | Digerati,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/476507,https://store.playstation.com/es-es/product/EP8925-CUSA23643_00-0208325909528017
ps4-observer-system-redux,Observer System Redux,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Bloober Team | Aspyr,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473619,https://store.steampowered.com/app/1386900
ps4-okinawa-rush-black-mantis-edition,Okinawa Rush [Black Mantis Edition],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,No Gravity Games | PixelHeart,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473711,https://www.wikidata.org/entity/Q106234707
ps4-okinawa-rush-limited-edition,Okinawa Rush [Limited Edition],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,No Gravity Games | PixelHeart,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473711,https://www.wikidata.org/entity/Q106234707
ps4-oxide-room-104,Oxide Room 104,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,WildSphere | WILD SPHERE S.L.,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://store.playstation.com/es-es/product/EP3877-CUSA31638_00-OXIDE104BASEGAME,https://store.steampowered.com/app/1819180
ps4-past-cure,Past Cure,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Phantom 8 Studio | Phantom 8 Studio UG,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/208506,https://store.playstation.com/es-es/product/EP2595-CUSA07370_00-0001000100010001
ps4-persona-5-&#43;-persona-5-dancing-the-starlight-day-one-edition-2-hits-pack,Persona 5 + Persona 5: Dancing The Starlight - Day One Edition [2 Hits Pack],DEVELOPER,,,MULTI_GAME_COMPILATION,SPLIT_COMPONENT_CREDITS,,
ps4-playlink-games-collection,PlayLink Games Collection,DEVELOPER,,,MULTI_GAME_COMPILATION,SPLIT_COMPONENT_CREDITS,,
ps4-professional-farmer-american-dream,Professional Farmer: American Dream,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,United Independent Entertainment | Iridium Media Group GmbH,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473837,https://store.playstation.com/es-es/product/EP8935-CUSA09298_00-FARMAMERICAPS4EU
ps4-quivr,QuiVR,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,"Alvios | THE MUNKY, LLC",MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/466167,https://store.playstation.com/es-es/product/EP3399-CUSA13201_00-QUIVR00000000000
ps4-race-with-ryan,Race with Ryan,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Outright Games | OUTRIGHT GAMES LLC,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://store.playstation.com/es-es/product/EP3678-CUSA15741_00-RWRBASEGAME00001,https://store.steampowered.com/app/1054990
ps4-ratchet-clank-atrapados-en-el-tiempo,Ratchet & Clank Atrapados en el tiempo,DEVELOPER,,,WRONG_PLATFORM_OR_TITLE,REPAIR_CATALOG_IDENTITY,,
ps4-ratchet-clank-atrapados-en-el-tiempo,Ratchet & Clank Atrapados en el tiempo,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,,WRONG_PLATFORM_OR_TITLE,REPAIR_CATALOG_IDENTITY,,
ps4-ratchet-clank-en-busca-del-tesoro,Ratchet & Clank En busca del tesoro,DEVELOPER,,,WRONG_PLATFORM_OR_TITLE,REPAIR_CATALOG_IDENTITY,,
ps4-ratchet-clank-en-busca-del-tesoro,Ratchet & Clank En busca del tesoro,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,,WRONG_PLATFORM_OR_TITLE,REPAIR_CATALOG_IDENTITY,,
ps4-rogue-trooper-redux,Rogue Trooper Redux,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Rebellion Developments | REBELLION INTERACTIVE,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473798,https://store.playstation.com/es-es/product/EP4529-CUSA08409_00-ROGUETROOPEREDUX
ps4-rpg-maker,RPG Maker,DEVELOPER,,,INCOMPLETE_TITLE,VERIFY_EXACT_PRODUCT,,
ps4-rpg-maker,RPG Maker,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,,INCOMPLETE_TITLE,VERIFY_EXACT_PRODUCT,,
ps4-ryan%27s-rescue-squad,Ryan's Rescue Squad,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Outright Games | OUTRIGHT GAMES LLC,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/473754,https://store.playstation.com/es-es/product/EP3678-CUSA27885_00-RYANSWORLDGAME01
