row,serial,title,market,serial_scope,languages_index,languages_detail,libretro_regions,review_reasons,source_urls
231,SLES-02774,BATTLETANX - GLOBAL ASSAULT,Europe,disc,E|I|S,en|es|it,Europe,,https://psxdatacenter.com/games/P/B/SLES-02774.html
236,SLES-02808,BEACH VOLLEYBALL,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/B/SLES-02808.html
238,SLES-00709,BEAST WARS - TRANSFORMERS,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/B/SLES-00709.html
240,SLES-00334,BEDLAM,Europe,disc,E|F|G|I|S|Du,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/B/SLES-00334.html
243,SLES-03847,BIG BASS FISHING,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/B/SLES-03847.html
254,SLES-00476,BLAST CHAMBER,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/B/SLES-00476.html
257,SLES-02273,BLASTER MASTER - BLASTING AGAIN,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/B/SLES-02273.html
258,SCES-01224,BLASTO,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/B/SCES-01224.html
266,SCES-01443,BLOOD LINES,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/B/SCES-01443.html
278,SLES-01712,BOMBERMAN FANTASY RACE,Europe,disc,E|F|G|S,de|en|es|fr,Europe,,https://psxdatacenter.com/games/P/B/SLES-01712.html
279,SCES-01078,BOMBERMAN WORLD,"Europe, Australia",disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/B/SCES-01078.html
284,SLES-03992,BRATZ,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/B/SLES-03992.html
296,SCES-00414,BROKEN SWORD - LA LEYENDA DE LOS TEMPLARIOS,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/B/SCES-00414.html
301,SCES-00802,BROKEN SWORD 2 - LAS FUERZAS DEL MAL,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/B/SCES-00802.html
307,SLES-00458,BUBBLE BOBBLE 2 - BUBBLE SYMPHONY,REVIEW,disc,E|G|S,de|en|es,,no_exact_redump_serial|source_reports_unreleased,https://psxdatacenter.com/games/P/B/SLES-00458.html
309,SLES-00174,BUGGY,Europe,disc,E|F|G|I|P|S,de|en|es|fr|it|pt,Europe,,https://psxdatacenter.com/games/P/B/SLES-00174.html
311,SLES-01726,BUGS BUNNY - LOST IN TIME,Europe,disc,E|F|G|I|Du|S,de|en|es|fr|it|pt,Europe,,https://psxdatacenter.com/games/P/B/SLES-01726.html
312,SLES-02896,BUGS BUNNY & TAZ - TIME BUSTERS,Europe,disc,E|F|G|I|Du|S,de|en|es|fr|it|pt,Europe,,https://psxdatacenter.com/games/P/B/SLES-02896.html
320,SCES-01313,BUST A GROOVE,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/B/SCES-01313.html
330,SCES-03366,C-12 FINAL RESISTANCE,Europe,disc,I|S,es|it,Europe,,https://psxdatacenter.com/games/P/C/SCES-03366.html
332,SLES-01363,C3 RACING - CAR CONSTRUCTORS CHAMPIONSHIP,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SLES-01363.html
347,SCES-01206,CARDINAL SYN,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/C/SCES-01206.html
348,SLES-01960,CARMAGEDDON,Europe,disc,E|F|I|S,en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SLES-01960.html
349,SLES-01961,CARMAGEDDON,Germany,disc,E|G|S|F,de|en|es|fr,Germany,,https://psxdatacenter.com/games/P/C/SLES-01961.html
350,SCES-00441,CARNAGE HEART,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SCES-00441.html
352,SLES-03113,CASPER - FRIENDS AROUND THE WORLD,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SLES-03113.html
358,SLES-01664,CENTIPEDE,Europe,disc,E|S|Sw,en,Europe,,https://psxdatacenter.com/games/P/C/SLES-01664.html
364,SLES-03427,CHAMPIONSHIP SURFER,Europe,disc,E|F|G|I|S|Du,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/C/SLES-03427.html
370,SCES-02816 SCES-12816,CHASE THE EXPRESS - [ 2 DISCS ],Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/C/SCES-02816.html
378,SLES-03285,CHICKEN RUN,Europe,disc,F|G|I|S,de|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SLES-03285.html
379,SLES-00711,CHILL,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SLES-00711.html
380,SLES-02297,CHINA,Europe,disc,E|D|S|Sw,en|es|nl|sv,Europe,,https://psxdatacenter.com/games/P/C/SLES-02297.html
387,SLES-00191 SLES-10191,CHRONICLES OF THE SWORD - [ 2 DISCS ],Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/C/SLES-00191.html
392,SLES-00753,CIRCUIT BREAKERS,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SLES-00753.html
397,SLES-01798,CIVILIZATION II,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/C/SLES-01798.html
403,SLES-00477,COLIN MCRAE RALLY,Europe,disc,E|F|G|S,de|en|es|fr,Europe,,https://psxdatacenter.com/games/P/C/SLES-00477.html
405,SLES-02605,COLIN MCRAE RALLY 2.0,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SLES-02605.html
410,SLES-00864 SLES-10864,COLONY WARS - [ 2 DISCS ],Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/C/SLES-00864.html
415,SCES-02624,COLONY WARS - EL SOL ROJO,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/C/SCES-02624.html
420,SLES-01408,COLONY WARS - VENGEANCE,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/C/SLES-01408.html
430,SLES-00927,CONSTRUCTOR,Europe,disc,E|F|G|S,de|en|es|fr,Europe,,https://psxdatacenter.com/games/P/C/SLES-00927.html
437,SLES-01269,COPA DEL MUNDO FRANCIA 98,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/C/SLES-01269.html
442,SCES-00967,CRASH BANDICOOT 2- CORTEX STRIKES BACK,REVIEW,disc,E|F|G|I|S,de|en|es|fr|it,Europe,serial_resolves_to_multiple_markets,https://psxdatacenter.com/games/P/C/SCES-00967.html
443,SCES-01420,CRASH BANDICOOT 3 - WARPED,"Europe, Australia",disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SCES-01420.html
444,SCES-02834,CRASH BASH,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SCES-02834.html
445,SCES-02105,CRASH TEAM RACING,Europe,disc,E|F|G|I|S,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/C/SCES-02105.html
446,SLES-03690,CREATURES,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SLES-03690.html
447,SLES-04111,CREATURES - RAISED IN SPACE,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SLES-04111.html
449,SLES-00954,CRIME KILLER,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/C/SLES-00954.html
454,SLES-02088,CROC 2,Europe,disc,E|F|G|I|S|N|Sw,de|en|es|fr|it|sv,Europe,,https://psxdatacenter.com/games/P/C/SLES-02088.html
461,SLES-02691,CRUSADERS OF MIGHT & MAGIC,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/C/SLES-02691.html
464,SLES-03986,CT SPECIAL FORCES,Europe,disc,E|F|G|I|Du|S,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/C/SLES-03986.html
465,SLES-04123,CT SPECIAL FORCES 2 - BACK TO HELL,Europe,disc,E|F|G|I|Du|S,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/C/SLES-04123.html
466,SLES-04155,CT SPECIAL FORCES 3 - BIOTERROR,Europe,disc,E|F|G|I|Du|S,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/C/SLES-04155.html
473,SLES-02370,CYBERTIGER,Europe,disc,E|F|G|Sw|S,de|en|es|fr|sv,Europe,,https://psxdatacenter.com/games/P/C/SLES-02370.html
479,SLES-04129,DANCE EUROPE,Europe,disc,F|G|I|S|Du|P,de|es|fr|it|nl|pt,Europe,,https://psxdatacenter.com/games/P/D/SLES-04129.html
485,SLES-04163,DANCING STAGE FUSION,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-04163.html
488,SLES-00663,DARKLIGHT CONFLICT,Europe,disc,E|F|G|I|S|Sw,de|en|es|fr|it|sv,Europe,,https://psxdatacenter.com/games/P/D/SLES-00663.html
491,SLES-00612,DARKSTONE,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-00612.html
495,SLES-03682,DAVID BECKHAM SOCCER,Europe,disc,F|G|I|S,de|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-03682.html
498,SLES-01040,DEAD BALL ZONE,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-01040.html
502,SLES-00147,DEFCON 5,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-00147.html
505,SLES-03890,DELTA FORCE - URBAN WARFARE,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-03890.html
508,SLES-02018,DEMOLITION RACER,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-02018.html
515,SCES-01772,DESTREGA,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-01772.html
518,SCES-02060,DESTRUCTION DERBY RAW,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SCES-02060.html
522,SCES-01312,DEVIL DICE,Europe,disc,E|F|G|I|S,de|en|es|fr|it,,,https://psxdatacenter.com/games/P/D/SCES-01312.html
527,SLES-00445,DIE HARD TRILOGY,Europe,disc,E|F|G|I|S|SW,de|en|es|fr|it|sv,Europe,,https://psxdatacenter.com/games/P/D/SLES-00445.html
534,SLES-03841,DIGIMON - RUMBLE ARENA,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-03841.html
538,SLES-03436,DIGIMON WORLD,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-03436.html
540,SLES-03936,DIGIMON WORLD 2003,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-03936.html
545,SLES-02211,DINO CRISIS,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-02211.html
550,SLES-03225,DINO CRISIS 2,Spain,disc,S|E,en|es,Spain,,https://psxdatacenter.com/games/P/D/SLES-03225.html
551,SLES-03989,DINOMASTER PARTY,Europe,disc,E|F|G|I|Du|S,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/D/SLES-03989.html
553,SCES-00012,DISCWORLD,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SCES-00012.html
555,SLES-00793,DISCWORLD II - MISSING PRESUMED...!?,Europe,disc,E|I|S,en|es|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-00793.html
558,SLES-01549,DISCWORLD NOIR,Europe,disc,E|I|S,en|es|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-01549.html
563,SLES-03191,DISNEY'S 102 DALMATIANS - PUPPIES TO THE RESCUE,Europe,disc,F|G|I|DU|S,es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/D/SLES-03191.html
571,SCES-03008,DISNEY'S ALADDIN EN LA VENGANZA DE NASIRA,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-03008.html
582,SCES-03541,DISNEY'S ATLANTIS - EL IMPERIO PERDIDO,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-03541.html
596,SLES-02894,DISNEY'S DINOSAURIO,Spain,disc,S,es,,,https://psxdatacenter.com/games/P/D/SLES-02894.html
602,SCES-03018,DISNEY'S EL EMPERADOR Y SUS LOCURAS,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-03018.html
603,SCES-03941,DISNEY'S EL PLANETA DEL TESORO,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-03941.html
604,SLES-03272,DISNEY'S EL REY LEON - LAS AVENTURAS DEL PODEROSO SIMBA,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-03272.html
605,SCES-02177,DISNEY'S EL TETRIS UN MAGICO DESAFIO,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-02177.html
612,SCES-00895,DISNEY'S HERCULES - JUEGO DE ACCION,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-00895.html
625,SCES-03036,DISNEY'S LA SIRENITA II,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-03036.html
626,SLES-03641,DISNEY'S LA SUPER-DIVER CASA DE GOOFY,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-03641.html
629,SLES-03965,DISNEY'S LEARNING - MICKEY MOUSE,Europe,disc,E|F|G|I|S|Du,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/D/SLES-03965.html
630,SLES-03983,DISNEY'S LEARNING - WINNIE THE POOH,Europe,disc,E|F|G|I|S|Du|Sw,da|de|en|fr|it|nl|sv,Europe,,https://psxdatacenter.com/games/P/D/SLES-03983.html
632,SCES-03875,DISNEY'S LILO & STITCH - EN PROBLEMAS EN EL PARAISO,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-03875.html
646,SCES-02007,DISNEY'S MULAN - AVENTURA INTERACTIVA,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-02007.html
653,SLES-03099,DISNEY'S PATO DONALD - CUAC ATTACK,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-03099.html
658,SCES-03715,DISNEY'S PETER PAN - AVENTURAS EN EL PAIS DE NUNCA JAMAS,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-03715.html
676,SCES-01519,DISNEY'S TARZAN,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-01519.html
690,SLES-03259,DISNEY'S TIGGER TRAS UN BOTE DE MIEL,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-03259.html
694,SCES-03748,DISNEY'S VEN A LA FIESTA CON WINNIE THE POOH,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-03748.html
708,SCES-01523,DISNEY / PIXAR - BICHOS - UNA AVENTURA EN MINIATURA,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-01523.html
710,SLES-03315,DISNEY / PIXAR - BUZZ LIGHTYEAR - GUARDIANES DEL ESPACIO,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-03315.html
725,SCES-03767,DISNEY / PIXAR - MONSTRUOS SA - LA ISLA DE LOS SUSTOS,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-03767.html
729,SLES-02408,DISNEY / PIXAR - TOY STORY 2 - ¡BUZZ LIGHTYEAR AL RESCATE!,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-02408.html
735,SLES-03398,DISNEY / PIXAR - TOY STORY RACER,Europe,disc,I|Du|S,es|it|nl,Europe,,https://psxdatacenter.com/games/P/D/SLES-03398.html
747,SLES-02760 SLES-12760,DRACULA - RESURRECCIÓN - [ 2 DISCS ],Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-02760.html
750,SLES-03352 SLES-13352,DRACULA 2 - EL ÚLTIMO SANTUARIO - [ 2 DISCS ],Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-03352.html
757,SLES-03685,DRAGON BALL GT - FINAL BOUT,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-03685.html
763,SLES-03739,DRAGON BALL Z - ULTIMATE BATTLE 22,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SLES-03739.html
769,SCES-02568 SCES-12568,DRAGON VALOR - [ 2 DISCS ],Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/D/SCES-02568.html
773,SLES-00714,DREAMS TO REALITY,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/D/SLES-00714.html
